State,Year,Quarter,Transaction_type,Transaction_count,Transaction_amount
rajasthan,2020,4,Recharge & bill payments,33455755,18123908526
rajasthan,2020,4,Financial Services,169294,136058685.9
rajasthan,2020,4,Others,560171,351480425.6
rajasthan,2020,2,Peer-to-peer payments,49160792,1.66176E+11
rajasthan,2020,2,Recharge & bill payments,31681776,13014051936
rajasthan,2020,2,Merchant payments,20756594,14354151782
rajasthan,2020,2,Financial Services,92875,76662259.21
rajasthan,2020,2,Others,262619,142020149.8
rajasthan,2020,3,Peer-to-peer payments,73247856,2.49007E+11
rajasthan,2020,3,Merchant payments,45149210,27714680562
rajasthan,2020,3,Recharge & bill payments,30148875,16650017441
rajasthan,2020,3,Financial Services,146383,113675141.5
rajasthan,2020,3,Others,396352,193212778.7
rajasthan,2020,1,Peer-to-peer payments,48269912,1.65469E+11
rajasthan,2020,1,Merchant payments,27880848,13643061482
rajasthan,2020,1,Recharge & bill payments,25631131,10961167180
rajasthan,2020,1,Financial Services,72604,34466606.25
rajasthan,2020,1,Others,404317,200968968.7
rajasthan,2021,4,Merchant payments,221774624,1.51968E+11
rajasthan,2021,4,Peer-to-peer payments,212937264,7.18215E+11
rajasthan,2021,4,Recharge & bill payments,51610607,32831163303
rajasthan,2021,4,Financial Services,265091,263180819.7
rajasthan,2021,4,Others,1034011,656777820.8
rajasthan,2021,2,Peer-to-peer payments,139277445,4.67784E+11
rajasthan,2021,2,Merchant payments,97860493,69922875807
rajasthan,2021,2,Recharge & bill payments,49501703,23387103756
rajasthan,2021,2,Financial Services,216441,186606893.6
rajasthan,2021,2,Others,620957,422031947.6
rajasthan,2021,3,Peer-to-peer payments,181742972,5.75913E+11
rajasthan,2021,3,Merchant payments,167819345,1.05548E+11
rajasthan,2021,3,Recharge & bill payments,49709657,28335516739
rajasthan,2021,3,Financial Services,197211,190362135.9
rajasthan,2021,3,Others,815568,524328574.3
rajasthan,2021,1,Peer-to-peer payments,116733195,4.0819E+11
rajasthan,2021,1,Merchant payments,96394132,61936457709
rajasthan,2021,1,Recharge & bill payments,38919519,20855464604
rajasthan,2021,1,Financial Services,192936,162581466.9
rajasthan,2021,1,Others,491137,347689722.9
rajasthan,2018,4,Peer-to-peer payments,10752729,33578327038
rajasthan,2018,4,Recharge & bill payments,7557003,2743591539
rajasthan,2018,4,Merchant payments,1985927,1172254324
rajasthan,2018,4,Financial Services,311632,40412563.01
rajasthan,2018,4,Others,352432,374501619.8
rajasthan,2018,2,Recharge & bill payments,5288093,1511007056
rajasthan,2018,2,Peer-to-peer payments,3770555,13341587602
rajasthan,2018,2,Merchant payments,345752,342809667.6
rajasthan,2018,2,Financial Services,279471,52145152.94
rajasthan,2018,2,Others,289826,311536696.7
rajasthan,2018,3,Peer-to-peer payments,7120792,21010614922
rajasthan,2018,3,Recharge & bill payments,5894660,2252031410
rajasthan,2018,3,Merchant payments,711240,445504998
rajasthan,2018,3,Financial Services,230083,30185982.18
rajasthan,2018,3,Others,300323,302431358.9
rajasthan,2018,1,Recharge & bill payments,4305940,868358581.2
rajasthan,2018,1,Peer-to-peer payments,2540658,7547652853
rajasthan,2018,1,Financial Services,202537,37125466.5
rajasthan,2018,1,Merchant payments,184127,201212697.3
rajasthan,2018,1,Others,358428,271943533.1
rajasthan,2022,4,Merchant payments,457778005,2.75195E+11
rajasthan,2022,4,Peer-to-peer payments,334316758,1.13038E+12
rajasthan,2022,4,Recharge & bill payments,72510470,50609988782
rajasthan,2022,4,Financial Services,244442,270658681
rajasthan,2022,4,Others,725173,500361375.7
rajasthan,2022,2,Merchant payments,336900860,2.08239E+11
rajasthan,2022,2,Peer-to-peer payments,263380560,9.05641E+11
rajasthan,2022,2,Recharge & bill payments,59879660,38325678034
rajasthan,2022,2,Financial Services,170705,175399371.4
rajasthan,2022,2,Others,838365,452454748.3
rajasthan,2022,3,Merchant payments,398104319,2.3061E+11
